national_id,first_name,paternal_last_name,maternal_last_name,death_date,age,genre,death_place,source,cause,geo_code,marital
95822412,Dani,Amaya,Llopis,2022-10-09,81,M,Hospital,Hospital Regional,Accidente de tránsito,140101,Casado
39958838,Emilio,Calatayud,Bonet,2024-04-11,94,M,Hospital,Municipalidad,Infarto,150101,Soltero
14265799,Amor,Bueno,Gil,2022-09-01,27,M,Hospital,MINSA,Insuficiencia renal,230101,Divorciado
77827638,Eligia,Amor,Flor,2025-04-29,28,F,Domicilio,RENIEC,Accidente laboral,210101,Divorciado
66306997,Isidro,Sanchez,Lobo,2020-09-29,43,F,Clínica,MINSA,Accidente laboral,100101,Soltero
31429110,José,Rocamora,Nieto,2023-01-20,11,F,Hospital,Hospital Regional,Accidente laboral,110101,Viudo
30868105,Ildefonso,Navarro,Calatayud,2021-06-24,5,F,Hospital,Municipalidad,Infarto,180101,Viudo
60992979,Cleto,Palomar,Núñez,2022-12-09,80,F,Clínica,RENIEC,Infarto,240101,Casado
15831819,Luna,Segovia,Casanovas,2023-11-29,98,F,Hospital,MINSA,Accidente laboral,250101,Divorciado
20576383,Carmina,Marcos,Pardo,2025-08-07,35,F,Domicilio,MINSA,COVID-19,110101,Casado
35808537,Julie,Baños,Arroyo,2022-08-18,85,F,Hospital,MINSA,Neumonía,140101,Casado
48840994,Cebrián,Guerrero,Cabrero,2023-12-04,59,F,Domicilio,MINSA,Insuficiencia renal,100101,Soltero
47308985,Wilfredo,Patiño,Cánovas,2023-11-03,29,M,Domicilio,Municipalidad,COVID-19,040101,Casado
57683626,Hugo,Lasa,Bellido,2022-02-22,72,F,Clínica,Municipalidad,Cáncer,230101,Divorciado
81691040,Luisina,Hierro,Cárdenas,2024-08-15,18,F,Clínica,MINSA,Insuficiencia renal,180101,Viudo
60929647,Julián,Gimenez,Morata,2021-03-01,95,F,Vía pública,Hospital Regional,Accidente de tránsito,200101,Divorciado
40742311,Paca,Antón,Moles,2024-02-07,11,M,Hospital,MINSA,Insuficiencia renal,210101,Divorciado
45935572,Blas,Galván,Miranda,2022-07-01,76,M,Vía pública,Municipalidad,Neumonía,030101,Viudo
97971488,Angelina,Priego,Segarra,2021-11-26,70,M,Hospital,Hospital Regional,Accidente laboral,230101,Viudo
45551614,Emilio,Huerta,Jódar,2025-08-30,14,F,Vía pública,MINSA,Cáncer,150101,Viudo
67503414,Tomasa,Pujol,Paredes,2022-07-22,64,M,Hospital,Hospital Regional,Accidente laboral,230101,Casado
28566572,Araceli,Uriarte,Bou,2021-02-02,19,F,Clínica,RENIEC,Neumonía,100101,Divorciado
24716857,Ezequiel,Cuesta,Roca,2021-03-25,2,M,Domicilio,Hospital Regional,Accidente de tránsito,080101,Casado
61642594,Rico,Solé,Ángel,2022-10-30,72,M,Hospital,Municipalidad,Accidente laboral,040101,Casado
84252722,Rosalinda,Alberdi,Carbó,2025-04-04,16,F,Clínica,Hospital Regional,Neumonía,220101,Divorciado
45812670,María José,Nieto,Cantón,2023-03-09,27,M,Domicilio,Municipalidad,Insuficiencia renal,230101,Viudo
68353204,Fausto,Santiago,Acero,2022-12-06,56,F,Hospital,MINSA,Accidente de tránsito,040101,Viudo
77187530,María Belén,Escalona,Vera,2021-08-05,2,M,Clínica,RENIEC,Infarto,230101,Soltero
93926371,Marc,Vera,Flor,2021-12-27,29,M,Hospital,Hospital Regional,Infarto,170101,Casado
60185867,María Belén,Cuéllar,Abascal,2023-06-13,35,F,Clínica,MINSA,Insuficiencia renal,190101,Divorciado
75579548,Alejo,Caparrós,Parejo,2023-04-22,31,F,Vía pública,MINSA,Infarto,250101,Divorciado
42138745,Bautista,Hernando,Bermúdez,2021-06-02,45,F,Vía pública,Municipalidad,Accidente laboral,080101,Soltero
75228535,Olalla,Bayón,Casas,2021-10-12,7,F,Domicilio,RENIEC,Accidente de tránsito,130101,Casado
98550256,Aitana,Dalmau,Landa,2025-03-06,68,F,Clínica,Municipalidad,Accidente de tránsito,120101,Divorciado
91415657,Teo,Galán,Font,2023-05-05,31,M,Vía pública,RENIEC,Infarto,230101,Soltero
63551839,Hilda,Perea,Ríos,2025-02-03,11,M,Clínica,Municipalidad,Cáncer,160101,Casado
70597444,Dionisio,Huguet,Gomila,2021-03-26,51,M,Clínica,Municipalidad,Infarto,060101,Viudo
55377076,Alfonso,Grau,Giménez,2020-10-01,100,F,Domicilio,Municipalidad,Insuficiencia renal,180101,Divorciado
19528530,Laura,Barral,Granados,2021-04-06,19,M,Domicilio,MINSA,Infarto,190101,Soltero
14216175,Rosalina,Murillo,Belda,2025-01-23,95,F,Hospital,RENIEC,Neumonía,160101,Casado
41944441,León,Torralba,Gargallo,2025-04-11,7,M,Clínica,RENIEC,Neumonía,040101,Casado
27758595,Loreto,Suárez,Herrero,2024-09-17,51,M,Clínica,RENIEC,Neumonía,040101,Divorciado
64634663,Goyo,Busquets,Caballero,2024-05-10,84,F,Domicilio,MINSA,Insuficiencia renal,100101,Casado
57553014,Teo,Reig,Solera,2021-02-24,33,F,Clínica,Hospital Regional,Cáncer,100101,Soltero
97705310,Flavia,Cabello,Barrera,2024-02-11,1,F,Hospital,RENIEC,Neumonía,130101,Viudo
55540424,Nereida,Canales,Ibarra,2022-04-27,16,F,Hospital,MINSA,COVID-19,020101,Casado
35529407,Brunilda,Sanabria,Checa,2024-04-11,56,F,Hospital,Hospital Regional,Insuficiencia renal,250101,Casado
34627347,León,Sevillano,Iborra,2021-05-01,33,M,Hospital,MINSA,COVID-19,020101,Casado
69476001,Nuria,Cabañas,Ayuso,2025-04-15,91,F,Clínica,Hospital Regional,Neumonía,160101,Viudo
11980765,Ciro,Guzmán,Delgado,2024-02-23,6,M,Vía pública,Hospital Regional,Infarto,150101,Viudo
75181648,Alicia,García,Quero,2021-03-10,98,M,Domicilio,MINSA,Insuficiencia renal,030101,Divorciado
32097220,Reynaldo,Abril,Portero,2022-12-11,71,M,Hospital,RENIEC,Insuficiencia renal,200101,Soltero
71070189,Lucho,Rocha,Torrecilla,2022-01-02,47,M,Vía pública,MINSA,Infarto,020101,Viudo
35487660,Manu,Gelabert,Barragán,2025-08-13,5,F,Clínica,MINSA,Insuficiencia renal,250101,Viudo
82772208,Benjamín,Mir,Barceló,2021-02-11,99,F,Clínica,MINSA,Accidente laboral,210101,Casado
88406989,Albina,Valverde,Criado,2021-03-04,52,M,Clínica,Hospital Regional,Accidente laboral,050101,Casado
78159587,Cecilio,Estevez,Bayona,2021-04-08,34,M,Hospital,Municipalidad,Accidente laboral,080101,Divorciado
41568532,Sancho,Carretero,Hoz,2025-08-12,28,M,Vía pública,Hospital Regional,COVID-19,140101,Casado
89795010,Aníbal,Bilbao,Rius,2025-08-27,3,M,Vía pública,Hospital Regional,COVID-19,040101,Viudo
85863473,Azeneth,Molina,Julián,2022-06-05,44,F,Domicilio,RENIEC,Infarto,120101,Casado
99889098,Lilia,Miralles,Gómez,2022-12-13,74,F,Hospital,RENIEC,Neumonía,050101,Viudo
63121477,Eleuterio,Marín,Sebastián,2023-05-19,93,F,Vía pública,RENIEC,Cáncer,190101,Casado
19736572,Agapito,Sedano,Cabo,2021-04-24,32,M,Vía pública,RENIEC,Neumonía,180101,Casado
82160068,Ignacio,Velasco,Lara,2021-10-25,46,F,Hospital,Hospital Regional,Neumonía,100101,Soltero
56843172,Socorro,Bayona,Hidalgo,2023-11-01,92,F,Domicilio,Municipalidad,COVID-19,060101,Viudo
48250360,Fausto,Ríos,Mate,2025-03-10,70,M,Clínica,Municipalidad,Insuficiencia renal,060101,Casado
11049999,Guadalupe,Marí,Calleja,2021-10-31,78,F,Vía pública,RENIEC,COVID-19,020101,Casado
45496015,David,Campo,Cortés,2023-01-03,55,F,Vía pública,Municipalidad,Cáncer,240101,Casado
47816686,Elodia,Galvez,Novoa,2022-06-03,65,F,Clínica,RENIEC,COVID-19,170101,Viudo
95125977,Reyna,Laguna,Vega,2024-11-04,11,M,Domicilio,MINSA,Accidente laboral,130101,Casado
43704923,Vicenta,Azcona,Bru,2024-04-17,3,M,Clínica,Municipalidad,Neumonía,040101,Divorciado
47135391,Arsenio,Acevedo,Múgica,2021-10-20,53,M,Vía pública,Municipalidad,Cáncer,140101,Casado
95511909,Juan Francisco,Cuéllar,Sala,2025-05-20,83,M,Hospital,Municipalidad,Accidente de tránsito,210101,Divorciado
67403166,Chelo,Agustí,Caparrós,2021-04-30,6,M,Hospital,Municipalidad,Accidente de tránsito,030101,Viudo
30005727,Caridad,Araujo,Peiró,2025-08-23,96,F,Vía pública,Municipalidad,Accidente de tránsito,160101,Divorciado
84158663,Eusebio,Ropero,Castell,2021-01-16,33,M,Domicilio,Municipalidad,Insuficiencia renal,140101,Viudo
51373735,Pánfilo,Ariño,Pallarès,2022-06-23,56,M,Domicilio,MINSA,COVID-19,100101,Viudo
43491314,Griselda,Calderon,Otero,2025-06-14,69,M,Clínica,MINSA,Accidente de tránsito,060101,Casado
64543049,Estela,Cortes,Guzmán,2022-01-26,90,M,Hospital,Municipalidad,Cáncer,100101,Divorciado
33763566,Socorro,Revilla,Amat,2022-03-20,53,M,Clínica,Municipalidad,Cáncer,190101,Soltero
54585178,Micaela,Requena,Hurtado,2022-12-16,97,F,Vía pública,RENIEC,COVID-19,020101,Divorciado
31367172,Mirta,Campoy,Piñeiro,2021-01-07,53,M,Vía pública,MINSA,COVID-19,050101,Divorciado
73174945,Iván,Flores,Seguí,2023-08-31,3,F,Domicilio,Municipalidad,Insuficiencia renal,210101,Divorciado
50962024,Otilia,Goñi,Gisbert,2020-11-21,16,M,Vía pública,RENIEC,Infarto,230101,Divorciado
98588154,Guadalupe,Pujadas,Moya,2023-01-22,17,F,Clínica,RENIEC,COVID-19,060101,Viudo
19317495,María Teresa,Lorenzo,Ortega,2025-01-08,27,F,Domicilio,Hospital Regional,Accidente laboral,060101,Viudo
63643924,Iris,Muñoz,Amorós,2021-09-02,96,F,Domicilio,RENIEC,Cáncer,150101,Soltero
45059710,Gaspar,Lara,Arenas,2021-08-11,44,M,Hospital,RENIEC,Accidente laboral,150101,Casado
90070438,Toño,Ojeda,Mir,2024-05-26,25,M,Clínica,MINSA,Accidente de tránsito,160101,Soltero
91363974,Ariadna,Carlos,Plaza,2025-08-05,72,M,Vía pública,Hospital Regional,Accidente laboral,110101,Casado
35511941,José Manuel,Arregui,Rubio,2020-09-14,77,M,Clínica,Hospital Regional,Infarto,190101,Soltero
79782527,Ángela,Figueras,Pascual,2024-05-10,39,F,Vía pública,MINSA,Infarto,190101,Casado
19391725,Graciana,Murillo,Mir,2021-10-01,13,F,Hospital,RENIEC,COVID-19,180101,Divorciado
50308572,Anunciación,Mendoza,Real,2023-06-19,84,F,Hospital,Hospital Regional,Infarto,050101,Divorciado
64009265,Josefina,Marqués,Castejón,2022-04-28,13,F,Domicilio,Municipalidad,Insuficiencia renal,200101,Divorciado
66431351,Graciana,Pinilla,Dávila,2025-07-13,22,F,Vía pública,Municipalidad,Cáncer,190101,Viudo
50392808,Santiago,Abad,Mateu,2023-02-17,41,M,Hospital,Hospital Regional,Cáncer,140101,Divorciado
38210242,Tito,Montserrat,Sola,2024-06-12,72,F,Domicilio,RENIEC,Cáncer,100101,Casado
69345683,Imelda,García,Vicente,2024-09-18,62,M,Domicilio,Hospital Regional,COVID-19,120101,Viudo
32775593,Genoveva,Blazquez,Luz,2025-01-27,71,M,Clínica,RENIEC,Accidente de tránsito,050101,Divorciado
99100953,Evita,Naranjo,Bueno,2022-09-08,71,M,Vía pública,Municipalidad,Cáncer,150101,Soltero
51663795,Jafet,Flor,Colom,2020-11-23,37,M,Vía pública,MINSA,COVID-19,240101,Viudo
16202700,Jose Ignacio,Talavera,Beltran,2024-07-24,60,F,Vía pública,Hospital Regional,COVID-19,030101,Viudo
65625330,Soraya,Ferreras,Plana,2024-11-22,39,F,Clínica,RENIEC,Insuficiencia renal,130101,Viudo
63640499,Jose Francisco,Coloma,Adán,2021-08-06,15,M,Clínica,MINSA,Insuficiencia renal,160101,Viudo
67062156,Isidoro,Echeverría,Villaverde,2024-08-22,92,F,Hospital,MINSA,COVID-19,140101,Viudo
16740197,Cecilia,Ibañez,Carrión,2024-07-28,22,F,Hospital,MINSA,COVID-19,080101,Soltero
27896471,Nicolasa,Sobrino,Molins,2024-06-15,70,F,Clínica,Municipalidad,Infarto,150101,Viudo
92228802,Ofelia,Vargas,Roldan,2025-05-08,60,F,Vía pública,Hospital Regional,Accidente de tránsito,080101,Viudo
69849511,Teófila,Cuenca,Taboada,2024-07-08,61,M,Hospital,Municipalidad,Cáncer,040101,Soltero
44788100,Maricruz,Huertas,Lluch,2025-02-14,19,M,Domicilio,RENIEC,Accidente de tránsito,250101,Divorciado
75041510,Eugenia,Haro,Llobet,2024-06-06,77,M,Vía pública,Municipalidad,Cáncer,020101,Divorciado
20399639,Leyre,Macias,Guitart,2023-01-01,39,M,Hospital,MINSA,Insuficiencia renal,130101,Viudo
55076693,Miguel,Berrocal,Chacón,2021-12-21,84,M,Clínica,MINSA,Accidente de tránsito,180101,Soltero
41039390,Rodolfo,Corominas,Gargallo,2021-03-27,20,M,Vía pública,Municipalidad,Insuficiencia renal,220101,Divorciado
