national_id,first_name,paternal_last_name,maternal_last_name,death_date,age,genre,death_place,source,cause,geo_code,marital
36885204,Aura,Alcántara,Bayona,2021-06-16,36,M,Vía pública,Municipalidad,Accidente de tránsito,190101,Soltero
83765077,Lucas,Oliveras,Olivera,2023-01-16,l,M,Domicilio,Municipalidad,Accidente laboral,170101,Viudo
40372869,Eloísa,Ferreras,Sanz,2024-02-16,8,F,Hospital,RENIEC,Cáncer,230101,Viudo
87162674,Adalberto,Julián,Díez,2024-02-25,53,M,Vía pública,MINSA,Accidente de tránsito,210101,Divorciado
77946127,Custodio,Belmonte,Vaquero,2023-03-12,37,F,Hospital,Hospital Regional,Accidente laboral,190101,Viudo
55629449,Demetrio,Vilanova,Jiménez,2025-04-07,63,F,Clínica,RENIEC,Accidente laboral,150101,Casado
87160950,Josué,Salas,Pi,2025-06-24,33,F,Vía pública,RENIEC,Insuficiencia renal,240101,Viudo
74911705,María Luisa,Hervia,Nicolás,2024-08-04,53,M,Vía pública,MINSA,Infarto,250101,Viudo
71836850,Teófila,Amorós,Toledo,2021-09-05,63,M,Domicilio,Municipalidad,Neumonía,050101,Viudo
44603983,Borja,Piñeiro,Giménez,2022-08-24,80,F,Hospital,Hospital Regional,Neumonía,190101,Soltero
52376656,Seve,Osuna,Villalonga,2025-03-31,33,M,Hospital,MINSA,COVID-19,030101,Casado
11305024,Juanita,Lago,Hurtado,2023-02-18,45,M,Hospital,Hospital Regional,COVID-19,050101,Viudo
22483514,Sabas,Nogués,Benitez,2025-05-28,6,F,Domicilio,RENIEC,Neumonía,130101,Casado
33955951,Alba,Mir,Otero,2022-07-20,97,M,Clínica,Hospital Regional,Accidente laboral,100101,Viudo
87002404,Julio César,España,Falcón,2024-12-07,34,F,Hospital,Hospital Regional,Accidente laboral,200101,Soltero
36798789,Joel,Herranz,Lara,2022-06-13,17,F,Domicilio,Municipalidad,Cáncer,100101,Casado
40763714,Hermenegildo,Iborra,Palacio,2022-01-06,13,M,Clínica,MINSA,Accidente laboral,130101,Soltero
24319594,Dimas,Bermudez,Ugarte,2020-09-29,53,F,Hospital,RENIEC,Accidente laboral,200101,Soltero
82675403,Aristides,Toledo,Pera,2023-05-16,61,F,Domicilio,Hospital Regional,Accidente de tránsito,030101,Viudo
76080806,Tomasa,Llobet,Tudela,2022-03-31,22,F,Hospital,RENIEC,Accidente de tránsito,200101,Casado
78603195,Lino,Puga,Girona,2025-08-05,88,M,Domicilio,MINSA,Accidente de tránsito,200101,Soltero
27212880,Baltasar,Zaragoza,Rocha,2024-10-04,54,M,Hospital,RENIEC,Accidente laboral,160101,Divorciado
82580645,Anacleto,Valverde,Olivera,2024-01-15,5,M,Hospital,RENIEC,Accidente laboral,240101,Soltero
33461307,Zacarías,Carreño,Villegas,2024-08-08,60,M,Domicilio,RENIEC,Infarto,020101,Soltero
52365995,Jennifer,Aguirre,Albero,2022-06-25,96,M,Hospital,MINSA,Neumonía,130101,Casado
60925964,Custodia,Cabrero,Morell,2023-10-07,85,F,Hospital,RENIEC,Accidente de tránsito,120101,Viudo
92245683,Rosalva,Jover,Exposito,2025-05-10,45,M,Clínica,RENIEC,Infarto,190101,Soltero
45279000,Jordi,Leon,Soto,2023-08-10,67,M,Clínica,Hospital Regional,Accidente de tránsito,180101,Soltero
59113508,Gerónimo,Valenzuela,Rodrigo,2022-06-25,92,M,Clínica,Municipalidad,COVID-19,190101,Casado
66249702,Juanita,Perales,Patiño,2024-02-05,56,M,Clínica,Hospital Regional,Cáncer,050101,Casado
47531240,Virgilio,Escolano,Castro,2025-08-03,65,M,Vía pública,RENIEC,Accidente laboral,100101,Soltero
40677709,Odalys,Cabo,Lerma,2022-09-11,59,M,Clínica,Municipalidad,Accidente laboral,110101,Viudo
84536479,Toni,Piquer,Ferrández,2021-12-06,71,M,Hospital,Hospital Regional,Cáncer,250101,Divorciado
30072000,Ainara,Agustí,Egea,2024-04-10,36,F,Domicilio,Municipalidad,Accidente de tránsito,180101,Divorciado
77054885,Eloy,Villanueva,Moles,2024-10-29,37,F,Clínica,RENIEC,Accidente laboral,160101,Viudo
50269906,Josué,Asenjo,Puig,2021-07-13,22,M,Vía pública,RENIEC,Cáncer,030101,Soltero
31923376,Benito,Garriga,Izquierdo,2024-09-28,15,M,Vía pública,Municipalidad,Insuficiencia renal,190101,Soltero
94538675,Clemente,Sandoval,Nadal,2022-11-25,94,M,Hospital,Hospital Regional,Accidente de tránsito,100101,Casado
58447502,Plácido,Jiménez,Núñez,2020-11-09,76,F,Hospital,MINSA,Accidente laboral,050101,Divorciado
65265613,Domingo,Ortega,Flor,2025-08-06,35,F,Vía pública,Hospital Regional,Cáncer,240101,Divorciado
87295245,Florentina,Díaz,Luís,2023-09-17,62,F,Clínica,Municipalidad,Infarto,250101,Viudo
53632879,Ignacia,Vicens,Torrent,2024-06-28,62,F,Clínica,MINSA,Infarto,250101,Soltero
20523679,Rico,Macías,Silva,2021-12-03,8,F,Hospital,MINSA,Cáncer,220101,Viudo
32491607,Felicidad,Navas,Robles,2025-07-21,19,F,Hospital,RENIEC,Insuficiencia renal,170101,Divorciado
64327674,Reina,Bellido,Bernad,2022-01-25,59,M,Domicilio,Municipalidad,Cáncer,170101,Viudo
56120632,Javier,Mir,Moliner,2023-03-03,69,F,Hospital,RENIEC,Cáncer,250101,Divorciado
45899536,Elodia,Prats,Linares,2024-06-22,57,F,Vía pública,Municipalidad,Cáncer,080101,Soltero
58743159,Mariana,Viñas,Sanjuan,2024-03-18,22,F,Clínica,Municipalidad,Cáncer,200101,Viudo
32457056,Gerónimo,Alvarado,Casares,2022-09-07,91,F,Vía pública,RENIEC,Neumonía,240101,Divorciado
98855162,José,Bernal,Galvez,2022-02-09,84,F,Vía pública,MINSA,Neumonía,080101,Divorciado
63290556,Cristian,Bustos,Bartolomé,2024-09-18,33,F,Vía pública,Hospital Regional,Accidente laboral,020101,Viudo
83609531,Baltasar,Amo,Puerta,2025-02-22,7,M,Hospital,MINSA,Accidente laboral,110101,Viudo
21173787,Cristóbal,Jáuregui,Cortés,2021-05-28,94,M,Domicilio,Municipalidad,Infarto,050101,Viudo
97890153,Sonia,Porta,Mendoza,2022-08-22,45,F,Domicilio,RENIEC,Insuficiencia renal,140101,Casado
43204998,Malena,Luz,Salazar,2021-10-06,30,F,Hospital,RENIEC,Accidente laboral,020101,Soltero
27619715,Belen,Donaire,Andrade,2020-12-27,43,M,Hospital,Hospital Regional,Infarto,030101,Divorciado
99060057,Pepe,Morell,Tamayo,2024-08-30,72,F,Domicilio,RENIEC,Insuficiencia renal,160101,Soltero
82555977,Lalo,Salgado,Cepeda,2025-04-11,40,F,Vía pública,Hospital Regional,Neumonía,250101,Divorciado
33761455,Domitila,Saura,Royo,2025-02-21,12,M,Domicilio,Municipalidad,Neumonía,240101,Viudo
95870691,Feliciana,Menendez,Olivera,2024-10-14,21,F,Domicilio,Municipalidad,Accidente de tránsito,160101,Soltero
82433029,Javi,Borrás,Sala,2023-04-23,68,M,Domicilio,Hospital Regional,Infarto,020101,Divorciado
