national_id,first_name,paternal_last_name,maternal_last_name,death_date,age,genre,death_place,source,cause,geo_code,marital
95822412,Dani,Amaya,Llopis,2022-10-09,81,M,Hospital,Hospital Regional,Accidente de tránsito,140101,Casado
39958838,Emilio,Calatayud,Bonet,-,94,M,Hospital,Municipalidad,Infarto,150101,Soltero
14265799,Amor,Bueno,Gil,2022-09-01,27,M,Hospital,MINSA,Insuficiencia renal,230101,Divorciado
77827638,Eligia,Amor,Flor,2025-04-29,28,F,Domicilio,RENIEC,Accidente laboral,210101,Divorciado
66306997,Isidro,Sanchez,Lobo,2020-09-29,43,F,Clínica,MINSA,Accidente laboral,100101,Soltero
31429110,José,Rocamora,Nieto,2023-01-20,11,F,Hospital,Hospital Regional,Accidente laboral,110101,Viudo
30868105,Ildefonso,Navarro,Calatayud,2021-06-24,5,F,Hospital,Municipalidad,Infarto,180101,Viudo
60992979,Cleto,Palomar,Núñez,2022-12-09,80,F,Clínica,RENIEC,Infarto,240101,Casado
15831819,Luna,Segovia,Casanovas,2023-11-29,98,F,Hospital,MINSA,Accidente laboral,250101,Divorciado
20576383,Carmina,Marcos,Pardo,2025-08-07,35,F,Domicilio,MINSA,COVID-19,110101,Casado
35808537,Julie,Baños,Arroyo,2022-08-18,85,F,Hospital,MINSA,Neumonía,140101,Casado
48840994,Cebrián,Guerrero,Cabrero,2023-12-04,59,F,Domicilio,MINSA,Insuficiencia renal,100101,Soltero
47308985,Wilfredo,Patiño,Cánovas,2023-11-03,29,M,Domicilio,Municipalidad,COVID-19,040101,Casado
57683626,Hugo,Lasa,Bellido,2022-02-22,72,F,Clínica,Municipalidad,Cáncer,230101,Divorciado
81691040,Luisina,Hierro,Cárdenas,2024-08-15,18,F,Clínica,MINSA,Insuficiencia renal,180101,Viudo
60929647,Julián,Gimenez,Morata,2021-03-01,95,F,Vía pública,Hospital Regional,Accidente de tránsito,200101,Divorciado
40742311,Paca,Antón,Moles,2024-02-07,11,M,Hospital,MINSA,Insuficiencia renal,210101,Divorciado
45935572,Blas,Galván,Miranda,2022-07-01,76,M,Vía pública,Municipalidad,Neumonía,030101,Viudo
97971488,Angelina,Priego,Segarra,2021-11-26,70,M,Hospital,Hospital Regional,Accidente laboral,230101,Viudo
45551614,Emilio,Huerta,Jódar,2025-08-30,14,F,Vía pública,MINSA,Cáncer,150101,Viudo
67503414,Tomasa,Pujol,Paredes,2022-07-22,64,M,Hospital,Hospital Regional,Accidente laboral,230101,Casado
28566572,Araceli,Uriarte,Bou,2021-02-02,19,F,Clínica,RENIEC,Neumonía,100101,Divorciado
24716857,Ezequiel,Cuesta,Roca,2021-03-25,2,M,Domicilio,Hospital Regional,Accidente de tránsito,080101,Casado
61642594,Rico,Solé,Ángel,2022-10-30,72,M,Hospital,Municipalidad,Accidente laboral,040101,Casado
84252722,Rosalinda,Alberdi,Carbó,2025-04-04,16,F,Clínica,Hospital Regional,Neumonía,220101,Divorciado
45812670,María José,Nieto,Cantón,2023-03-09,27,M,Domicilio,Municipalidad,Insuficiencia renal,230101,Viudo
68353204,Fausto,Santiago,Acero,2022-12-06,56,F,Hospital,MINSA,Accidente de tránsito,040101,Viudo
77187530,María Belén,Escalona,Vera,2021-08-05,2,M,Clínica,RENIEC,Infarto,230101,Soltero
93926371,Marc,Vera,Flor,2021-12-27,29,M,Hospital,Hospital Regional,Infarto,170101,Casado
60185867,María Belén,Cuéllar,Abascal,2023-06-13,35,F,Clínica,MINSA,Insuficiencia renal,190101,Divorciado
75579548,Alejo,Caparrós,Parejo,2023-04-22,31,F,Vía pública,MINSA,Infarto,250101,Divorciado
42138745,Bautista,Hernando,Bermúdez,2021-06-02,45,F,Vía pública,Municipalidad,Accidente laboral,080101,Soltero
75228535,Olalla,Bayón,Casas,2021-10-12,7,F,Domicilio,RENIEC,Accidente de tránsito,130101,Casado
98550256,Aitana,Dalmau,Landa,2025-03-06,68,F,Clínica,Municipalidad,Accidente de tránsito,120101,Divorciado
91415657,Teo,Galán,Font,2023-05-05,31,M,Vía pública,RENIEC,Infarto,230101,Soltero
63551839,Hilda,Perea,Ríos,2025-02-03,11,M,Clínica,Municipalidad,Cáncer,160101,Casado
70597444,Dionisio,Huguet,Gomila,2021-03-26,51,M,Clínica,Municipalidad,Infarto,060101,Viudo
55377076,Alfonso,Grau,Giménez,2020-10-01,100,F,Domicilio,Municipalidad,Insuficiencia renal,180101,Divorciado
19528530,Laura,Barral,Granados,2021-04-06,19,M,Domicilio,MINSA,Infarto,190101,Soltero
14216175,Rosalina,Murillo,Belda,2025-01-23,95,F,Hospital,RENIEC,Neumonía,160101,Casado
41944441,León,Torralba,Gargallo,2025-04-11,7,M,Clínica,RENIEC,Neumonía,040101,Casado
27758595,Loreto,Suárez,Herrero,2024-09-17,51,M,Clínica,RENIEC,Neumonía,040101,Divorciado
64634663,Goyo,Busquets,Caballero,2024-05-10,84,F,Domicilio,MINSA,Insuficiencia renal,100101,Casado
57553014,Teo,Reig,Solera,2021-02-24,33,F,Clínica,Hospital Regional,Cáncer,100101,Soltero
97705310,Flavia,Cabello,Barrera,2024-02-11,1,F,Hospital,RENIEC,Neumonía,130101,Viudo
55540424,Nereida,Canales,Ibarra,2022-04-27,16,F,Hospital,MINSA,COVID-19,020101,Casado
35529407,Brunilda,Sanabria,Checa,2024-04-11,56,F,Hospital,Hospital Regional,Insuficiencia renal,250101,Casado
34627347,León,Sevillano,Iborra,2021-05-01,33,M,Hospital,MINSA,COVID-19,020101,Casado
69476001,Nuria,Cabañas,Ayuso,2025-04-15,91,F,Clínica,Hospital Regional,Neumonía,160101,Viudo
11980765,Ciro,Guzmán,Delgado,2024-02-23,6,M,Vía pública,Hospital Regional,Infarto,150101,Viudo
75181648,Alicia,García,Quero,2021-03-10,98,M,Domicilio,MINSA,Insuficiencia renal,030101,Divorciado
32097220,Reynaldo,Abril,Portero,2022-12-11,71,M,Hospital,RENIEC,Insuficiencia renal,200101,Soltero
71070189,Lucho,Rocha,Torrecilla,2022-01-02,47,M,Vía pública,MINSA,Infarto,020101,Viudo
35487660,Manu,Gelabert,Barragán,2025-08-13,5,F,Clínica,MINSA,Insuficiencia renal,250101,Viudo
82772208,Benjamín,Mir,Barceló,2021-02-11,99,F,Clínica,MINSA,Accidente laboral,210101,Casado
88406989,Albina,Valverde,Criado,2021-03-04,52,M,Clínica,Hospital Regional,Accidente laboral,050101,Casado
78159587,Cecilio,Estevez,Bayona,2021-04-08,34,M,Hospital,Municipalidad,Accidente laboral,080101,Divorciado
41568532,Sancho,Carretero,Hoz,2025-08-12,28,M,Vía pública,Hospital Regional,COVID-19,140101,Casado
89795010,Aníbal,Bilbao,Rius,2025-08-27,3,M,Vía pública,Hospital Regional,COVID-19,040101,Viudo
85863473,Azeneth,Molina,Julián,2022-06-05,44,F,Domicilio,RENIEC,Infarto,120101,Casado
99889098,Lilia,Miralles,Gómez,2022-12-13,74,F,Hospital,RENIEC,Neumonía,050101,Viudo
63121477,Eleuterio,Marín,Sebastián,2023-05-19,93,F,Vía pública,RENIEC,Cáncer,190101,Casado
19736572,Agapito,Sedano,Cabo,2021-04-24,32,M,Vía pública,RENIEC,Neumonía,180101,Casado
82160068,Ignacio,Velasco,Lara,2021-10-25,46,F,Hospital,Hospital Regional,Neumonía,100101,Soltero
56843172,Socorro,Bayona,Hidalgo,2023-11-01,92,F,Domicilio,Municipalidad,COVID-19,060101,Viudo
48250360,Fausto,Ríos,Mate,2025-03-10,70,M,Clínica,Municipalidad,Insuficiencia renal,060101,Casado
11049999,Guadalupe,Marí,Calleja,2021-10-31,78,F,Vía pública,RENIEC,COVID-19,020101,Casado
45496015,David,Campo,Cortés,2023-01-03,55,F,Vía pública,Municipalidad,Cáncer,240101,Casado
47816686,Elodia,Galvez,Novoa,2022-06-03,65,F,Clínica,RENIEC,COVID-19,170101,Viudo
95125977,Reyna,Laguna,Vega,2024-11-04,11,M,Domicilio,MINSA,Accidente laboral,130101,Casado
43704923,Vicenta,Azcona,Bru,2024-04-17,3,M,Clínica,Municipalidad,Neumonía,040101,Divorciado
47135391,Arsenio,Acevedo,Múgica,2021-10-20,53,M,Vía pública,Municipalidad,Cáncer,140101,Casado
95511909,Juan Francisco,Cuéllar,Sala,2025-05-20,83,M,Hospital,Municipalidad,Accidente de tránsito,210101,Divorciado
67403166,Chelo,Agustí,Caparrós,2021-04-30,6,M,Hospital,Municipalidad,Accidente de tránsito,030101,Viudo
30005727,Caridad,Araujo,Peiró,2025-08-23,96,F,Vía pública,Municipalidad,Accidente de tránsito,160101,Divorciado
84158663,Eusebio,Ropero,Castell,2021-01-16,33,M,Domicilio,Municipalidad,Insuficiencia renal,140101,Viudo
51373735,Pánfilo,Ariño,Pallarès,2022-06-23,56,M,Domicilio,MINSA,COVID-19,100101,Viudo
43491314,Griselda,Calderon,Otero,2025-06-14,69,M,Clínica,MINSA,Accidente de tránsito,060101,Casado
64543049,Estela,Cortes,Guzmán,2022-01-26,90,M,Hospital,Municipalidad,Cáncer,100101,Divorciado
33763566,Socorro,Revilla,Amat,2022-03-20,53,M,Clínica,Municipalidad,Cáncer,190101,Soltero
54585178,Micaela,Requena,Hurtado,2022-12-16,97,F,Vía pública,RENIEC,COVID-19,020101,Divorciado
31367172,Mirta,Campoy,Piñeiro,2021-01-07,53,M,Vía pública,MINSA,COVID-19,050101,Divorciado
73174945,Iván,Flores,Seguí,2023-08-31,3,F,Domicilio,Municipalidad,Insuficiencia renal,210101,Divorciado
50962024,Otilia,Goñi,Gisbert,2020-11-21,16,M,Vía pública,RENIEC,Infarto,230101,Divorciado
98588154,Guadalupe,Pujadas,Moya,2023-01-22,17,F,Clínica,RENIEC,COVID-19,060101,Viudo
19317495,María Teresa,Lorenzo,Ortega,2025-01-08,27,F,Domicilio,Hospital Regional,Accidente laboral,060101,Viudo
63643924,Iris,Muñoz,Amorós,2021-09-02,96,F,Domicilio,RENIEC,Cáncer,150101,Soltero
45059710,Gaspar,Lara,Arenas,2021-08-11,44,M,Hospital,RENIEC,Accidente laboral,150101,Casado
90070438,Toño,Ojeda,Mir,2024-05-26,25,M,Clínica,MINSA,Accidente de tránsito,160101,Soltero
91363974,Ariadna,Carlos,Plaza,2025-08-05,72,M,Vía pública,Hospital Regional,Accidente laboral,110101,Casado
35511941,José Manuel,Arregui,Rubio,2020-09-14,77,M,Clínica,Hospital Regional,Infarto,190101,Soltero
79782527,Ángela,Figueras,Pascual,2024-05-10,39,F,Vía pública,MINSA,Infarto,190101,Casado
19391725,Graciana,Murillo,Mir,2021-10-01,13,F,Hospital,RENIEC,COVID-19,180101,Divorciado
50308572,Anunciación,Mendoza,Real,2023-06-19,84,F,Hospital,Hospital Regional,Infarto,050101,Divorciado
64009265,Josefina,Marqués,Castejón,2022-04-28,13,F,Domicilio,Municipalidad,Insuficiencia renal,200101,Divorciado
66431351,Graciana,Pinilla,Dávila,2025-07-13,22,F,Vía pública,Municipalidad,Cáncer,190101,Viudo
50392808,Santiago,Abad,Mateu,2023-02-17,41,M,Hospital,Hospital Regional,Cáncer,140101,Divorciado
38210242,Tito,Montserrat,Sola,2024-06-12,72,F,Domicilio,RENIEC,Cáncer,100101,Casado
69345683,Imelda,García,Vicente,2024-09-18,62,M,Domicilio,Hospital Regional,COVID-19,120101,Viudo
32775593,Genoveva,Blazquez,Luz,2025-01-27,71,M,Clínica,RENIEC,Accidente de tránsito,050101,Divorciado
99100953,Evita,Naranjo,Bueno,2022-09-08,71,M,Vía pública,Municipalidad,Cáncer,150101,Soltero
51663795,Jafet,Flor,Colom,2020-11-23,37,M,Vía pública,MINSA,COVID-19,240101,Viudo
16202700,Jose Ignacio,Talavera,Beltran,2024-07-24,60,F,Vía pública,Hospital Regional,COVID-19,030101,Viudo
65625330,Soraya,Ferreras,Plana,2024-11-22,39,F,Clínica,RENIEC,Insuficiencia renal,130101,Viudo
63640499,Jose Francisco,Coloma,Adán,2021-08-06,15,M,Clínica,MINSA,Insuficiencia renal,160101,Viudo
67062156,Isidoro,Echeverría,Villaverde,2024-08-22,92,F,Hospital,MINSA,COVID-19,140101,Viudo
16740197,Cecilia,Ibañez,Carrión,2024-07-28,22,F,Hospital,MINSA,COVID-19,080101,Soltero
27896471,Nicolasa,Sobrino,Molins,2024-06-15,70,F,Clínica,Municipalidad,Infarto,150101,Viudo
92228802,Ofelia,Vargas,Roldan,2025-05-08,60,F,Vía pública,Hospital Regional,Accidente de tránsito,080101,Viudo
69849511,Teófila,Cuenca,Taboada,2024-07-08,61,M,Hospital,Municipalidad,Cáncer,040101,Soltero
44788100,Maricruz,Huertas,Lluch,2025-02-14,19,M,Domicilio,RENIEC,Accidente de tránsito,250101,Divorciado
75041510,Eugenia,Haro,Llobet,2024-06-06,77,M,Vía pública,Municipalidad,Cáncer,020101,Divorciado
20399639,Leyre,Macias,Guitart,2023-01-01,39,M,Hospital,MINSA,Insuficiencia renal,130101,Viudo
55076693,Miguel,Berrocal,Chacón,2021-12-21,84,M,Clínica,MINSA,Accidente de tránsito,180101,Soltero
41039390,Rodolfo,Corominas,Gargallo,2021-03-27,20,M,Vía pública,Municipalidad,Insuficiencia renal,220101,Divorciado
65682626,Saturnino,Muro,Solano,2024-03-23,37,M,Clínica,Hospital Regional,Insuficiencia renal,020101,Divorciado
18357162,Hilario,Rivera,Porras,2025-08-28,9,M,Domicilio,MINSA,Cáncer,250101,Casado
12621534,Rocío,Pintor,Tapia,2020-09-27,82,M,Domicilio,MINSA,Infarto,080101,Casado
57212267,Marc,Porta,Rius,2025-04-08,39,F,Vía pública,RENIEC,Cáncer,020101,Divorciado
83300637,Nereida,Giménez,Torrents,2022-07-22,34,F,Vía pública,RENIEC,Neumonía,080101,Divorciado
46632757,Tristán,Torralba,Andres,2023-12-31,94,F,Domicilio,RENIEC,Infarto,140101,Soltero
55114543,Guiomar,Quiroga,Dalmau,2024-08-31,97,F,Hospital,MINSA,Cáncer,170101,Divorciado
27129912,Esther,Amores,Prada,2025-06-28,35,M,Vía pública,Municipalidad,Infarto,160101,Viudo
98986321,Amando,Blanes,Romero,2021-11-04,52,F,Domicilio,RENIEC,Accidente laboral,210101,Viudo
71968116,Germán,Ayllón,Juan,2023-11-30,52,F,Domicilio,Municipalidad,Accidente laboral,180101,Soltero
53936531,Héctor,Sanz,Morillo,2023-07-24,58,M,Domicilio,Hospital Regional,COVID-19,250101,Divorciado
60885459,Leopoldo,Robles,Iniesta,2021-05-21,65,M,Vía pública,Municipalidad,Infarto,130101,Viudo
73123515,Alejo,Azorin,Olmo,2022-08-06,79,F,Vía pública,RENIEC,Accidente de tránsito,120101,Casado
97260863,Bruno,Arjona,Anguita,2022-10-17,36,F,Vía pública,RENIEC,Infarto,230101,Casado
36757737,Primitiva,Almagro,Corominas,2022-09-20,90,M,Domicilio,RENIEC,Neumonía,050101,Soltero
26941092,Ainara,Carbó,Gibert,2024-08-23,28,M,Vía pública,RENIEC,Insuficiencia renal,200101,Divorciado
44392446,María Fernanda,Peinado,Diez,2021-08-30,91,F,Domicilio,Municipalidad,Accidente laboral,160101,Divorciado
31980274,María,Campoy,Amigó,2023-05-06,31,F,Clínica,Municipalidad,Accidente de tránsito,220101,Casado
87282128,Inés,Perez,Puente,2022-05-18,8,F,Vía pública,Hospital Regional,Accidente laboral,170101,Viudo
20200074,Dora,Herrero,Cal,2023-04-03,0,F,Domicilio,Municipalidad,Accidente laboral,200101,Divorciado
90585882,Noa,Carrillo,Armengol,2023-08-23,68,F,Domicilio,Hospital Regional,Neumonía,180101,Divorciado
81503856,Tiburcio,Pellicer,Bayón,2024-12-28,58,F,Clínica,MINSA,Neumonía,060101,Casado
96911784,Néstor,Alberola,Rivera,2024-11-10,99,F,Hospital,Hospital Regional,Insuficiencia renal,160101,Divorciado
24165187,Toribio,Paredes,Segura,2021-12-28,49,M,Vía pública,RENIEC,Accidente de tránsito,170101,Viudo
68450095,Gabriel,Vélez,León,2025-04-08,12,F,Hospital,Municipalidad,Infarto,200101,Divorciado
74893936,Adela,Ruano,Ledesma,2023-06-07,83,M,Hospital,Municipalidad,Accidente laboral,120101,Viudo
42949803,Paulina,Bolaños,Lorenzo,2024-07-10,79,F,Hospital,Hospital Regional,Accidente laboral,240101,Divorciado
42730796,Maricela,Sobrino,Pinilla,2023-07-21,40,F,Hospital,RENIEC,Accidente de tránsito,230101,Viudo
13852048,Ana Belén,Morcillo,Espada,2024-11-01,29,M,Vía pública,RENIEC,Accidente laboral,230101,Soltero
38470244,Pedro,Jordán,Niño,2023-01-25,56,M,Domicilio,RENIEC,Infarto,100101,Soltero
90014570,Judith,Llorente,Agustín,2025-01-31,37,F,Domicilio,Municipalidad,Accidente de tránsito,140101,Divorciado
35643159,Che,Hernández,Ramos,2024-11-04,72,M,Clínica,MINSA,Infarto,220101,Divorciado
84514489,Marta,Hernandez,Tamayo,2024-11-11,79,M,Vía pública,MINSA,Accidente de tránsito,030101,Viudo
70152969,Mónica,Alemany,Buendía,2023-03-12,58,F,Hospital,Municipalidad,COVID-19,240101,Casado
39742165,Sandalio,Hervia,Medina,2025-08-20,9,F,Domicilio,Hospital Regional,Insuficiencia renal,050101,Viudo
59529086,Ainara,Núñez,Roig,2025-05-15,58,F,Clínica,Municipalidad,Accidente laboral,160101,Soltero
54398056,Pastor,Santiago,Lillo,2023-04-19,30,F,Domicilio,Hospital Regional,Insuficiencia renal,020101,Soltero
43742830,Jerónimo,Carrillo,Fernández,2023-05-17,84,F,Domicilio,RENIEC,Neumonía,240101,Soltero
26046365,Manuelita,Esteve,Feliu,2022-07-13,77,F,Domicilio,MINSA,Neumonía,110101,Casado
74988034,Leonel,Zamorano,Luna,2021-07-18,81,M,Domicilio,MINSA,Insuficiencia renal,250101,Soltero
36054020,Manu,Gordillo,Paniagua,2022-03-20,39,F,Hospital,Hospital Regional,Insuficiencia renal,200101,Soltero
50569669,Alberto,Castañeda,Lledó,2021-01-28,37,F,Vía pública,MINSA,Accidente de tránsito,200101,Viudo
17318358,Carolina,Manzano,Cases,2024-11-12,67,F,Clínica,Hospital Regional,Accidente laboral,160101,Viudo
23769080,Salud,Alberola,Luís,2024-09-06,95,F,Hospital,Municipalidad,Infarto,200101,Casado
74251933,Valero,Niño,Espinosa,2021-02-15,86,F,Domicilio,RENIEC,Accidente laboral,060101,Soltero
43887075,Rosalva,Tejedor,Carbonell,2021-03-31,33,M,Vía pública,Hospital Regional,Insuficiencia renal,240101,Viudo
63782042,Amparo,Benavent,Baeza,2021-12-24,74,F,Domicilio,RENIEC,Insuficiencia renal,140101,Divorciado
30024960,Obdulia,Mateu,Blázquez,2022-10-20,3,F,Clínica,RENIEC,Insuficiencia renal,030101,Viudo
25898299,Celestina,Rico,Gonzalez,2025-02-18,83,F,Hospital,MINSA,Infarto,080101,Viudo
61053474,Virgilio,Salas,Martinez,2024-05-03,63,M,Hospital,MINSA,Neumonía,200101,Divorciado
50987442,Cloe,Barrena,Cabezas,2022-06-16,58,F,Vía pública,MINSA,Cáncer,230101,Soltero
93955206,Héctor,Lamas,Bertrán,2022-01-09,62,F,Domicilio,RENIEC,Insuficiencia renal,110101,Casado
42194159,Fulgencio,Benavides,Crespi,2020-09-17,56,F,Clínica,Hospital Regional,Infarto,240101,Viudo
64830300,Virgilio,Soriano,Manuel,2020-12-19,69,F,Hospital,Municipalidad,COVID-19,130101,Soltero
41068214,Luis,Luna,Santiago,2021-04-18,58,M,Clínica,RENIEC,Infarto,100101,Casado
41329612,Ámbar,Lamas,Figuerola,2024-04-21,16,M,Hospital,MINSA,Neumonía,130101,Casado
25405014,Candelas,Gomila,Company,2022-12-13,42,M,Hospital,Hospital Regional,Accidente laboral,200101,Casado
29090631,Calixto,Barreda,Daza,2023-04-22,69,F,Clínica,RENIEC,Insuficiencia renal,150101,Casado
89865458,Marianela,Malo,Saavedra,2021-09-30,1,F,Clínica,Hospital Regional,Infarto,210101,Viudo
72907576,Jennifer,Mateu,Quevedo,2023-01-02,6,M,Vía pública,RENIEC,Insuficiencia renal,040101,Divorciado
77172238,Calista,Uribe,Río,2021-05-16,57,F,Hospital,Municipalidad,Neumonía,140101,Soltero
90267122,Aníbal,Rosales,Mora,2022-10-26,93,F,Vía pública,RENIEC,Infarto,160101,Divorciado
13471527,Ciriaco,Granados,Almansa,2022-12-25,54,M,Vía pública,Municipalidad,Infarto,040101,Viudo
87342561,Apolinar,Díez,Sosa,2025-02-07,77,M,Hospital,MINSA,COVID-19,220101,Viudo
97444123,Vasco,Lobo,Escudero,2025-09-01,48,F,Vía pública,Municipalidad,Infarto,250101,Casado
68503492,Fabiola,Téllez,Bou,2024-09-08,55,F,Clínica,Municipalidad,COVID-19,030101,Divorciado
56702542,Sebastian,Mínguez,Montesinos,2021-07-30,53,M,Domicilio,Municipalidad,COVID-19,240101,Viudo
31585546,Narciso,Requena,Valbuena,2023-02-21,47,M,Vía pública,RENIEC,Infarto,040101,Soltero
98930456,Salvador,Arco,Sanz,2021-06-09,55,M,Domicilio,MINSA,Neumonía,080101,Viudo
52213778,José Antonio,Morales,Carmona,2024-02-16,85,M,Vía pública,Hospital Regional,Accidente laboral,240101,Divorciado
79067939,Paloma,Abella,Sevilla,2024-03-15,92,M,Domicilio,Hospital Regional,COVID-19,250101,Casado
17275149,Godofredo,Villegas,Pardo,2024-12-05,19,F,Clínica,RENIEC,COVID-19,180101,Viudo
93940940,Vasco,Aznar,Frutos,2022-12-17,14,F,Clínica,Municipalidad,Accidente laboral,180101,Soltero
83715012,Eleuterio,Maestre,Ríos,2024-10-23,77,F,Hospital,MINSA,COVID-19,020101,Viudo
26297533,Ambrosio,Heras,Cuadrado,2023-05-02,44,M,Clínica,MINSA,Neumonía,240101,Divorciado
83932360,Alberto,Raya,Buendía,2022-08-08,8,M,Hospital,RENIEC,Insuficiencia renal,170101,Casado
25228493,Íñigo,Carpio,Correa,2024-12-05,48,F,Vía pública,Hospital Regional,Accidente de tránsito,110101,Viudo
49172995,Araceli,Llano,Ribes,2024-10-17,92,F,Hospital,RENIEC,Accidente de tránsito,210101,Soltero
73380266,Jose Francisco,Saura,Coca,2023-12-14,86,M,Domicilio,Municipalidad,Insuficiencia renal,050101,Divorciado
35583290,África,Verdejo,Cerezo,2021-04-13,77,F,Vía pública,Hospital Regional,Accidente de tránsito,170101,Soltero
47077298,María Teresa,Ribera,Nieto,2025-01-03,44,F,Hospital,Hospital Regional,Insuficiencia renal,240101,Divorciado
45859307,Otilia,Acedo,Luna,2023-03-25,67,F,Hospital,MINSA,Cáncer,220101,Soltero
88777447,Cruz,Tovar,Comas,2024-06-27,0,M,Domicilio,MINSA,Accidente laboral,200101,Viudo
82287061,Alondra,Ochoa,Márquez,2025-05-20,37,F,Hospital,RENIEC,Cáncer,050101,Casado
82937948,René,Sarabia,Montserrat,2022-04-18,16,F,Clínica,Hospital Regional,Infarto,060101,Soltero
42051937,Concha,Piñol,Guillen,2024-03-08,55,M,Vía pública,RENIEC,Accidente laboral,100101,Divorciado
15858241,Maximino,Suárez,Piquer,2023-12-22,73,F,Vía pública,Hospital Regional,Infarto,060101,Soltero
99078806,Mónica,Cornejo,Valbuena,2021-01-02,41,M,Vía pública,Hospital Regional,Infarto,050101,Soltero
26944487,Ani,Mármol,Cabrera,2024-06-07,31,F,Vía pública,RENIEC,Cáncer,020101,Viudo
23383077,Begoña,Saura,Alcántara,2021-11-30,28,F,Clínica,RENIEC,Neumonía,230101,Soltero
65026398,Sabina,Cortes,Benavides,2024-09-06,67,M,Domicilio,Hospital Regional,Insuficiencia renal,230101,Casado
45570755,Nilo,Puga,Bernat,2023-06-26,30,M,Clínica,Hospital Regional,Accidente de tránsito,210101,Casado
